State,District,Name,TRU,Level,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
27,516,Nashik,Total,DISTRICT,1222887,6107187,3157186,2950001,827935,438050,389885,554687,282213,272474,1564369,792547,771822,4345366,2397538,1947828,2763328,1746286,1017042,2523023,1639881,883142,240305,106405,133900,3343859,1410900,1932959
27,517,Thane,Total,DISTRICT,2529165,11060148,5865078,5195070,1327146,689665,637481,730089,377885,352204,1542451,769192,773259,8227161,4591396,3635765,4492767,3363123,1129644,3930511,3059503,871008,562256,303620,258636,6567381,2501955,4065426
27,518,Mumbai Suburban,Total,DISTRICT,2105604,9356962,5031323,4325639,930884,486696,444188,583302,300291,283011,104560,55033,49527,7575485,4223029,3352456,3735021,2944322,790699,3515922,2811481,704441,219099,132841,86258,5621941,2087001,3534940
27,519,Mumbai,Total,DISTRICT,674339,3085411,1684608,1400803,272886,142566,130320,219934,111564,108370,25093,13488,11605,2509022,1410680,1098342,1284396,1021009,263387,1209334,975508,233826,75062,45501,29561,1801015,663599,1137416
27,520,Raigarh,Total,DISTRICT,611790,2634200,1344345,1289855,300815,155437,145378,134952,67980,66972,305125,153657,151468,1939994,1059692,880302,1072969,753843,319126,858825,641655,217170,214144,112188,101956,1561231,590502,970729
27,521,Pune,Total,DISTRICT,2151503,9429408,4924105,4505303,1104959,586665,518294,1180703,602755,577948,348876,179132,169744,7171723,3940210,3231513,4048993,2809816,1239177,3751221,2658832,1092389,297772,150984,146788,5380415,2114289,3266126
27,522,Ahmadnagar,Total,DISTRICT,930024,4543159,2342825,2200334,556014,300238,255776,573698,291521,282177,378230,191165,187065,3151890,1773355,1378535,2204590,1300309,904281,2039455,1227314,812141,165135,72995,92140,2338569,1042516,1296053
27,523,Bid,Total,DISTRICT,535835,2585049,1349106,1235943,352890,195245,157645,351254,179777,171477,32722,16806,15916,1718507,987185,731322,1255548,727819,527729,1154708,684533,470175,100840,43286,57554,1329501,621287,708214
27,524,Latur,Total,DISTRICT,481572,2454196,1273140,1181056,317811,168237,149574,480913,247918,232995,57488,29872,27616,1650672,932432,718240,1046857,670018,376839,964177,633321,330856,82680,36697,45983,1407339,603122,804217
27,525,Osmanabad,Total,DISTRICT,351281,1657576,861535,796041,207096,110919,96177,265184,136354,128830,36039,18569,17470,1137810,644304,493506,773916,473795,300121,701894,441657,260237,72022,32138,39884,883660,387740,495920
27,526,Solapur,Total,DISTRICT,873167,4317756,2227852,2089904,538453,285879,252574,649745,331960,317785,77592,39785,37807,2910676,1651266,1259410,1898395,1206933,691462,1763175,1148937,614238,135220,57996,77224,2419361,1020919,1398442
27,527,Satara,Total,DISTRICT,653735,3003741,1510842,1492899,317885,167729,150156,323236,161703,161533,29635,15210,14425,2225694,1201034,1024660,1354947,844805,510142,1184407,780808,403599,170540,63997,106543,1648794,666037,982757
27,528,Ratnagiri,Total,DISTRICT,397115,1615069,761121,853948,155560,80333,75227,66948,31967,34981,20374,10402,9972,1199392,619012,580380,714076,407008,307068,554973,344089,210884,159103,62919,96184,900993,354113,546880
27,529,Sindhudurg,Total,DISTRICT,209839,849651,417332,432319,71193,37034,34159,55586,26830,28756,6976,3575,3401,666067,348289,317778,347178,229676,117502,226538,164740,61798,120640,64936,55704,502473,187656,314817
27,530,Kolhapur,Total,DISTRICT,840240,3876001,1980658,1895343,408942,219521,189421,504461,253390,251071,30206,15478,14728,2825845,1559760,1266085,1704054,1125204,578850,1508563,1050072,458491,195491,75132,120359,2171947,855454,1316493
27,531,Sangli,Total,DISTRICT,598386,2822143,1435728,1386415,306777,164355,142422,353093,177108,175985,18333,9406,8927,2049467,1121550,927917,1215104,800214,414890,1074948,749251,325697,140156,50963,89193,1607039,635514,971525
28,532,Adilabad,Total,DISTRICT,649849,2741239,1369597,1371642,309992,160291,149701,488596,242844,245752,495794,247472,248322,1483347,856350,626997,1323667,748939,574728,1066460,639313,427147,257207,109626,147581,1417572,620658,796914
28,533,Nizamabad,Total,DISTRICT,593234,2551335,1250641,1300694,282417,144977,137440,371074,178798,192276,192941,95679,97262,1389810,790214,599596,1261076,684320,576756,1055965,590356,465609,205111,93964,111147,1290259,566321,723938
28,534,Karimnagar,Total,DISTRICT,976022,3776269,1880800,1895469,336053,173647,162406,709757,352481,357276,106745,53495,53250,2206829,1257238,949591,1876768,1049463,827305,1590304,935666,654638,286464,113797,172667,1899501,831337,1068164
28,535,Medak,Total,DISTRICT,668626,3033288,1523030,1510258,367603,188312,179291,537947,266413,271534,168985,86574,82411,1637137,953406,683731,1442203,837874,604329,1195494,728047,467447,246709,109827,136882,1591085,685156,905929
